mnum;f;Zmag;Zphi;Zim;Zre;satur
1;10.0;1.9988304804691754;160.31537914182832;0.6732911358759298;-1.882020811788099;0
1;11.070704277200035;2.2655230957358237;152.84714167765898;1.033907669272709;-2.015844693604025;0
1;12.256049319321509;2.385745772339068;153.61411418335155;1.0602600550588057;-2.137201793439364;0
1;13.568309762098721;2.4312321693190286;153.69490213913983;1.0774028539248293;-2.1794707961994684;0
1;15.021074491764132;2.117855188896977;149.03754265016426;1.089586326164209;-1.8160705490078937;0
1;16.629387362411354;2.1606133695848864;145.86783256301132;1.2123283767161028;-1.7884378769859066;0
1;18.40990298002635;2.2387534642885303;142.84537701360327;1.3521356558512383;-1.7843055349461976;0
1;20.381059166381537;2.291789441900146;146.90588938745663;1.2513533594324504;-1.9200035457889404;0
1;22.563267888712705;2.5333642807470826;145.6282241582706;1.430237355062261;-2.091017859117825;0
1;24.9791266323182;2.627732161896447;142.90221743002192;1.5849879165853822;-2.095898284493621;0
1;27.653652404912624;2.4075924019003607;141.8166879107903;1.4883242220599622;-1.8924566530618228;0
1;30.614540795926924;2.518687628831165;136.15015150510808;1.7448733894906678;-1.816371169743261;0
1;33.8924527733983;2.63769487139687;135.1852056152406;1.8590932550881445;-1.87115111722146;0
1;37.52133218832608;2.5267100669547293;128.41288861947635;1.9798130496402628;-1.5699057458728194;0
1;41.53875727435449;2.6755483054106244;128.33068326011545;2.098818755410264;-1.6593729437723679;0
1;45.98632978267703;3.2526441857732182;125.34297872367156;2.653194540526617;-1.8815559862422584;0
1;50.9101057817814;3.1241295973047927;125.01910449346406;2.5585395104326882;-1.7927803307462589;0
1;56.36107258310733;2.9898109421559314;122.0307456072675;2.53465292649134;-1.5857187682764633;0
1;62.395676731338796;3.5979263201846883;119.58308854114007;3.1289031054362026;-1.7762429907727777;0
1;69.07640852684227;3.6406004249868213;112.42695132240547;3.3652497276903497;-1.3889081052014391;0
1;76.47244913317297;3.7009272626659744;114.10526229376492;3.3781940832586743;-1.511511607424947;0
1;84.66038697065802;4.250587585700138;113.73506429362814;3.891057734016119;-1.7108958279981497;0
1;93.72501081454739;4.609478409546015;109.56455688897637;4.3433491711402334;-1.5435702723317481;0
1;103.76018781052294;4.789983541684535;106.68272276919666;4.588368839234135;-1.3750686254707158;0
1;114.86983549970341;5.259717142727367;105.28160397085344;5.073744541562121;-1.3862686422438895;0
1;127.1689979187831;5.6251408318853455;102.3889517984004;5.49415192959166;-1.2068570557891258;0
1;140.78503691867144;6.002145790448952;101.67415869840576;5.877986430781127;-1.2145079700673156;0
1;155.8589510381301;6.557501062189564;100.94423230966738;6.438236108462879;-1.2449642534233738;0
1;172.54683558977376;7.283891387529027;98.08501982877712;7.211492879372747;-1.0244238361516742;0
1;191.02149907810397;8.026181940148154;96.4881988604587;7.9747754561695725;-0.9069470547037377;0
1;211.47425268811284;8.513508487953914;95.46849563041073;8.474761375248997;-0.8113238607677201;0
1;234.11689137519718;9.40646820696908;93.40317434930583;9.389880282657042;-0.5583837444702225;0
1;259.18388707121716;10.188342953510398;94.62338062287448;10.155190786318416;-0.8212382308554232;0
1;286.93481671806546;10.943473461040922;89.1247638334064;10.942196663628032;0.1671632943996869;0
1;317.65705027182923;12.07815782610845;90.77681421568161;12.07704774907832;-0.16375023318179593;0
1;351.66872651270864;13.065760051294438;87.19280445410165;13.050081068930602;0.6398982828080823;0
