mnum;f;Zmag;Zphi;Zim;Zre;satur
0;10.0;7.395911302517507;-178.80474640596137;-0.1542757334206299;-7.3943020625873634;0
0;11.070704277200035;7.479095525143865;178.72464638604285;0.16646433537492533;-7.477242773862246;0
0;12.256049319321509;7.347321631446817;179.40947600202398;0.07572447685757244;-7.346931397497254;0
0;13.568309762098721;7.803655124001009;174.93352243648349;0.6891526539528523;-7.773165501512041;0
0;15.021074491764132;7.839369875452573;174.7015746826784;0.7239126689397694;-7.805874101719922;0
0;16.629387362411354;7.725298657929045;170.60794256455785;1.2606852937622628;-7.621739430359179;0
0;18.40990298002635;7.546442815532742;170.8175493928381;1.2042524819884246;-7.4497365810967064;0
0;20.381059166381537;8.004528522234372;168.83151018157025;1.5504358657231272;-7.852937379703404;0
0;22.563267888712705;7.568458160691077;165.385367900086;1.9096467369887764;-7.323578924954621;0
0;24.9791266323182;7.575060189889095;160.59202133906237;2.517135507100749;-7.144617954749943;0
0;27.653652404912624;7.413336740536942;162.98940644165592;2.168760641852711;-7.0890083161853825;0
0;30.614540795926924;7.996367681959152;158.0218531063242;2.9926640361544825;-7.415244977193157;0
0;33.8924527733983;7.229794354246831;157.55915808024744;2.7598244819004343;-6.682312117358957;0
0;37.52133218832608;7.283607922359806;153.38879109928413;3.262575664966155;-6.512030742942879;0
0;41.53875727435449;7.424102433688098;150.53127476592613;3.652275352051715;-6.463604389091977;0
0;45.98632978267703;7.227323216785263;150.781829604373;3.5279200223482654;-6.307771492040394;0
0;50.9101057817814;7.316299261018146;144.02261235846856;4.2980764748442475;-5.92070717846822;0
0;56.36107258310733;6.633897304891349;151.16811877677353;3.199138629172055;-5.811549318657104;0
0;62.395676731338796;6.774988291151842;147.1170156774085;3.678311033100832;-5.689507385443246;0
0;69.07640852684227;6.873798514050846;138.60409592613038;4.545355908520475;-5.156437304636373;0
0;76.47244913317297;6.883105861098167;135.8417655650519;4.795062891700836;-4.938068261954015;0
0;84.66038697065802;7.115182022357183;130.69435105291478;5.394721223642226;-4.639266982019786;0
0;93.72501081454739;7.123013530597425;127.94908062306102;5.616906364256181;-4.380374944254476;0
0;103.76018781052294;7.129891582949997;127.19759861302585;5.679352624725634;-4.310488110254252;0
0;114.86983549970341;6.822339506640958;119.13679056566511;5.959039020934335;-3.32177216118986;0
0;127.1689979187831;7.001457909139805;117.59311724066026;6.2051066752162045;-3.2430023130802152;0
0;140.78503691867144;7.315047903791714;114.70243125574572;6.645651126633918;-3.0569996627145515;0
